Date,Clinic,Time,DocName,Review,Reviewer_Name
3/15/2015,"Care Medicentre,, Kingsway Camp, Delhi",8:30:15,Dr. Arpana Jain,Doctor listened the sufferings of my wife with patience and not in haste and then provided the proper diagnosis for the captioned problem. , Verified Patient 
3/14/2015,"Care Medicentre,, Kingsway Camp, Delhi",6:55:17,Dr. Arpana Jain,I feel she is tremendous and skillful doctor. She is soft spoken and brilliant in handling the patients., Verified Patient 
3/13/2015,"Care Medicentre,, Kingsway Camp, Delhi",8:22:17,Dr. Arpana Jain,Experience was very good.., Verified Patient 
3/5/2015,"Care Medicentre,, Kingsway Camp, Delhi",4:22:22,Dr. Arpana Jain,Extremely polite humble jovinal helpful care taking and always smiling doctor , Verified Patient 
3/4/2015,"Care Medicentre,, Kingsway Camp, Delhi",13:40:56,Dr. Arpana Jain,Fine & we were totally contented with her examination & advices., Verified Patient 
2/16/2015,"Care Medicentre,, Kingsway Camp, Delhi",7:50:15,Dr. Arpana Jain,I am very much satisfied with service and consultancy provided by Dr. Arpana Jain. I would like to convey my sincere thanks  to doctor and wish to continue here for further treatment now and in future., Verified Patient 
2/12/2015,"Care Medicentre,, Kingsway Camp, Delhi",13:43:25,Dr. Arpana Jain,"It has been very difficult to find a gynaecologist who cares and listens patiently about my problems and needs. My previous experiences with some gynae doctors were not pleasant which I don't even want to remember! So this time, I was very careful while choosing which Doctor to visit and i was sure that she would understand me when I saw her profile and the reviews sure did really helped me in finding the right Doctor. She was very professional and careful. Thank you so much Doctor. Looking forward to make you my future Gynaecologist. And those of you who are reading this review and is confused of whom to go to, stop scrolling and just go for her. I am sure your experience will  be very pleasant too. I am not someone who writes reviews so this is my 1st review ever and i was convinced to write it as i am convinced that there may be more people like me out there who are confused. Hope this helps. Sorry for the long review though!", Verified Patient 
2/11/2015,"Care Medicentre,, Kingsway Camp, Delhi",12:34:48,Dr. Arpana Jain,"It is my 1st visit, Dr.Arpana Jain is very friendly & sweet to me.  She has done case study very well. Thank You", Verified Patient 
2/7/2015,"Care Medicentre,, Kingsway Camp, Delhi",13:09:05,Dr. Arpana Jain,It was a nice experience, Verified Patient 
2/5/2015,"Care Medicentre,, Kingsway Camp, Delhi",8:37:10,Dr. Arpana Jain,I m satisfied with the Dr. Consultation.., Verified Patient 
2/5/2015,"Care Medicentre,, Kingsway Camp, Delhi",8:37:12,Dr. Arpana Jain,Good experience.doctor is great., Verified Patient 
2/4/2015,"Care Medicentre,, Kingsway Camp, Delhi",13:44:23,Dr. Arpana Jain,"Without any doubt, our experience was very satisfactory and smooth. We were impressed with professionalism/ expertise and warm nature of our doctor. She will always remain in our memories and we will definitely recommend to others.,Regards,,Ritika verma", Verified Patient 
1/27/2015,"Care Medicentre,, Kingsway Camp, Delhi",14:42:03,Dr. Arpana Jain,"Doc Aparna Jain is very compassionate, besides being very good with her profession. She explained everything to us very patiently, unlike some docs who hurry through the process. Glad to have consulted her.", Verified Patient 
1/24/2015,"Care Medicentre,, Kingsway Camp, Delhi",9:40:34,Dr. Arpana Jain,Very friendly and cooperative, Verified Patient 
1/23/2015,"Care Medicentre,, Kingsway Camp, Delhi",8:42:37,Dr. Arpana Jain,Awesome!!!!! She gave me my life my baby. Thnx n luv, Verified Patient 
1/22/2015,"Care Medicentre,, Kingsway Camp, Delhi",9:00:23,Dr. Arpana Jain,I am very very happy to have such a sweet doctor on earth. I would recommend this doctor to everyone. She will provide you the best solution to all your problems. Thank you once again Dr. Arpana. God Bless you. , Verified Patient 
1/17/2015,"Care medicentre,, Kingsway Camp, Delhi",7:22:07,Dr. Arpana Jain,Overall very nice experience. She is very pleasing person., Verified Patient 
12/26/2014,"Care Medicentre,, Kingsway Camp, Delhi",15:30:18,Dr. Arpana Jain,Its a great experience WD mam very cooperative thnx., Verified Patient 
12/26/2014,"Care Medicentre,, Kingsway Camp, Delhi",13:47:13,Dr. Arpana Jain,We feel that we are very fortunate to have doctor Arpana around. She has made our family complete and made our life worth living., Verified Patient 
12/24/2014,"Care Medicentre,, Kingsway Camp, Delhi",15:06:26,Dr. Arpana Jain,"Great experience with such a humble,intelligent and experienced doctor", Verified Patient 
12/24/2014,"Care Medicentre,, Kingsway Camp, Delhi",14:33:42,Dr. Arpana Jain,I find you best madam., Verified Patient 
12/23/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:04:22,Dr. Arpana Jain,Excellent recommend to all my known to, Verified Patient 
12/22/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:12:07,Dr. Arpana Jain,"Good , and very caring", Verified Patient 
12/20/2014,"Care Medicentre,, Kingsway Camp, Delhi",4:26:13,Dr. Arpana Jain,Experience was great!!, Verified Patient 
12/19/2014,"Care Medicentre,, Kingsway Camp, Delhi",15:15:53,Dr. Arpana Jain,Great doctor and wonder full person., Verified Patient 
12/19/2014,"Care Medicentre,, Kingsway Camp, Delhi",8:28:41,Dr. Arpana Jain,Gud she s a very nice doctor, Verified Patient 
12/18/2014,"Care Medicentre,, Kingsway Camp, Delhi",7:35:58,Dr. Arpana Jain,Wonderful experience that will be cherished forever. Excellent support and hospitality, Verified Patient 
12/18/2014,"Care Medicentre,, Kingsway Camp, Delhi",7:35:58,Dr. Arpana Jain,Docter is very helpful and quit understanding. Happy to visit :-) :-) , Verified Patient 
12/17/2014,"Care Medicentre,, Kingsway Camp, Delhi",13:59:28,Dr. Arpana Jain,"Wonderful experience. Dr Arpana is a good human being. Will definitely recommend to friends.,Thanks ,Manish Tayal ", Verified Patient 
12/16/2014,"Care Medicentre,, Kingsway Camp, Delhi",13:59:16,Dr. Arpana Jain,Good. I think the appointment system can be improved. Doctor consultation and guidance is good though. , Verified Patient 
12/15/2014,"Care Medicentre,, Kingsway Camp, Delhi",16:03:03,Dr. Arpana Jain,She's a excellent Doctor and a very good human being god bless her:-) , Verified Patient 
12/12/2014,"Care Medicentre,, Kingsway Camp, Delhi",14:20:47,Dr. Arpana Jain,"Great ,helpful and understanding Doctor.", Verified Patient 
12/11/2014,"Care Medicentre,, Kingsway Camp, Delhi",7:06:16,Dr. Arpana Jain,So polite n patient .gud experience .I always recommend others for u., Verified Patient 
12/10/2014,"Care Medicentre,, Kingsway Camp, Delhi",12:43:00,Dr. Arpana Jain,Good experience with docter ., Verified Patient 
12/10/2014,"Care Medicentre,, Kingsway Camp, Delhi",12:37:44,Dr. Arpana Jain,"Very nice, happy to be treated by her.", Verified Patient 
