Blog_URL,Blog_Status,Blog_Meta,Blog_Catigory,Blog_Discription,Blog_Title,Blog_Name
http://worldrecord.bubble.ro/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'X-Cache': ['MISS from proxy2'], 'X-Cache-Lookup': ['MISS from proxy2:8080'], 'Vary': ['Accept-Encoding'], 'Server': ['nginx'], 'Date': ['Tue, 31 Mar 2015 12:08:29 GMT'], 'Content-Type': ['text/html; charset=UTF-8']}",Reference - World Records,"Offers a collection of world recode videos. Includes sports, animals, and funny records. ",World record blog - best world record videos,World Record Blog
http://synonym-finder.winsite.com/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'X-Cache': ['MISS from proxy2'], 'Set-Cookie': ['PHPSESSID=132bf106370fde577ba91c2817b9b6b5; path=/'], 'X-Cache-Lookup': ['MISS from proxy2:8080'], 'X-Powered-By': ['PHP/5.3.25'], 'Vary': ['Accept-Encoding,User-Agent'], 'Server': ['Apache'], 'Pragma': ['no-cache'], 'Cache-Control': ['no-cache, no-store, max-age=0, must-revalidate, proxy-revalidate, no-transform'], 'Date': ['Tue, 31 Mar 2015 12:08:32 GMT'], 'Content-Type': ['text/html'], 'Expires': ['Thu, 19 Nov 1981 08:52:00 GMT']}",Reference - Thesauri,Provides free synonym finder downloads. ,Free Synonym Finder Downloads,WinSite
http://unbfacts.blogspot.in/,200,"{'Alternate-Protocol': ['80:quic,p=0.5'], 'X-Xss-Protection': ['1; mode=block'], 'X-Cache': ['MISS from proxy2'], 'X-Content-Type-Options': ['nosniff'], 'Accept-Ranges': ['none'], 'Expires': ['Tue, 31 Mar 2015 12:08:33 GMT'], 'Vary': ['Accept-Encoding'], 'Server': ['GSE'], 'Via': ['1.1 proxy2 (squid/3.4.9)'], 'Cache-Control': ['private, max-age=0'], 'Date': ['Tue, 31 Mar 2015 12:08:33 GMT'], 'Content-Type': ['text/html; charset=UTF-8'], 'X-Cache-Lookup': ['MISS from proxy2:8080']}",Reference - Trivia and Lists,"Showcasing strange, little known or odd facts. ",Redirecting,Unbelievable Facts
http://statelyenglishmanor.typepad.com/,200,"{'X-Varnish': ['3652951844'], 'X-Cache': ['MISS from proxy2'], 'Set-Cookie': ['__cfduid=dda0ab6c11458fd7e8a19e1d63ed36afe1427803712; expires=Wed, 30-Mar-16 12:08:32 GMT; path=/; domain=.typepad.com; HttpOnly'], 'Age': ['0'], 'X-Webserver': ['oak-tp-web002'], 'Vary': ['cookie,Accept-Encoding'], 'Server': ['cloudflare-nginx'], 'Via': ['1.1 varnish, 1.1 proxy2 (squid/3.4.9)'], 'X-Phapp': ['oak-tp-web002'], 'Date': ['Tue, 31 Mar 2015 12:08:32 GMT'], 'Cf-Ray': ['1cfbf0b0e9a61123-SIN'], 'Content-Type': ['text/html; charset=utf-8'], 'X-Cache-Lookup': ['MISS from proxy2:8080']}",Regional - Europe,UK home improvement blog offering updates on various projects. ,Stately English Manor,Stately English Manor
http://www.tobaccolawblog.com/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'X-Cache': ['MISS from proxy2'], 'X-Cache-Lookup': ['MISS from proxy2:8080'], 'Vary': ['Accept-Encoding'], 'Server': ['Apache'], 'Date': ['Tue, 31 Mar 2015 12:08:35 GMT'], 'Content-Type': ['text/html; charset=UTF-8'], 'X-Pingback': ['http://www.tobaccolawblog.com/xmlrpc.php']}",Recreation - Tobacco,"Gives news headlines, details about conferences and events, details about the Troutman Sanders Tobacco Team and the federal law. ",Tobacco Law Blog — Troutman Sanders Tobacco Team,Troutman Sanders Tobacco Law
http://www.wisdomquotes.com/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'Response': ['200'], 'X-Cache': ['MISS from proxy2'], 'Set-Cookie': ['active_template::2244=%2Fbs_biscaya%2Fbs_biscaya; expires=Thu, 02-Apr-2015 12:08:35 GMT; Max-Age=172800; path=/; domain=wisdomquotes.com', 'ezopvc=1; expires=Tue, 31-Mar-2015 15:08:35 GMT; Max-Age=10800; path=/; domain=wisdomquotes.com; httponly', 'ezouid=1635194474; Path=/; Domain=wisdomquotes.com; Expires=Mon, 20 Mar 2017 12:08:35 UTC', 'ezovid=1297863707; Path=/; Domain=wisdomquotes.com; Expires=Fri, 31 Dec 9999 23:59:59 UTC', 'active_template::2244=%2Fbs_biscaya%2Fbs_biscaya; Path=/; Domain=wisdomquotes.com; Expires=Thu, 02 Apr 2015 12:08:35 UTC'], 'X-Cache-Lookup': ['MISS from proxy2:8080'], 'X-Middleton-Display': ['stored'], 'Vary': ['Accept-Encoding'], 'X-Mod-Pagespeed': ['1.9.32.2-4321'], 'Date': ['Tue, 31 Mar 2015 12:08:35 GMT'], 'X-Middleton-Response': ['200'], 'Cache-Control': ['private, max-age=89403'], 'X-Sol': ['middleton'], 'Expires': ['Wed, 01 Apr 2015 12:58:38 GMT'], 'Server': ['nginx/1.4.0'], 'Content-Type': ['text/html;charset=utf-8'], 'Display': ['stored']}",Reference - Quotations,Extensive collection of quotations in almost every subject area. ,Wisdom Quotes,Wisdom Quotes
http://blog.relatime.com/,200,"{'X-Varnish': ['3652953399 3652886914'], 'X-Cache': ['MISS from proxy2'], 'Set-Cookie': ['__cfduid=d197e08fae523f31728a6383ce21ff4a91427803715; expires=Wed, 30-Mar-16 12:08:35 GMT; path=/; domain=.relatime.com; HttpOnly'], 'Age': ['131'], 'X-Webserver': ['oak-tp-web005'], 'Vary': ['cookie,Accept-Encoding'], 'Server': ['cloudflare-nginx'], 'Via': ['1.1 varnish, 1.1 proxy2 (squid/3.4.9)'], 'X-Phapp': ['oak-tp-web005'], 'Date': ['Tue, 31 Mar 2015 12:08:35 GMT'], 'Cf-Ray': ['1cfbf0c592d001ce-SIN'], 'Content-Type': ['text/html; charset=utf-8'], 'X-Cache-Lookup': ['MISS from proxy2:8080']}",Reference - Time,Ideas and new information on telling the time. Includes watch and countdown galleries. ,relatimeblog,Relatime
http://www.discoverycenter.us/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'X-Cache': ['MISS from proxy2'], 'X-Cache-Lookup': ['MISS from proxy2:8080'], 'X-Powered-By': ['PHP/5.3.27'], 'Vary': ['Accept-Encoding,User-Agent'], 'Server': ['Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 PHP/5.3.27'], 'Link': ['<http://wp.me/75wE>; rel=shortlink'], 'Date': ['Tue, 31 Mar 2015 12:08:34 GMT'], 'Content-Type': ['text/html; charset=UTF-8'], 'X-Pingback': ['http://www.discoverycenter.us/xmlrpc.php']}",Business - Shopping,"Featuring discussions about gardens, nature, yard decor and backyard birds. Also offers birding and garden products. ","Discovery Center - Discover gardens, nature and other nice things!",Discovery Center
http://moock.org/blog/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'X-Cache': ['HIT from proxy2'], 'Age': ['857'], 'Server': ['Apache/2.2.3 (Red Hat)'], 'X-Cache-Lookup': ['HIT from proxy2:8080'], 'Last-Modified': ['Tue, 14 May 2013 16:51:14 GMT'], 'Etag': ['""1d20181-39e8-70f06480""'], 'Date': ['Tue, 31 Mar 2015 11:54:24 GMT'], 'Content-Type': ['text/html; charset=UTF-8'], 'Accept-Ranges': ['bytes']}",Computers - Multimedia,"Blogger posts about flash including flash bugs, Flash Builder, multimedia drawing pads, and html. ",moock.org >> moockblog,Moock Blog
http://www.uk-preparedness.co.uk/,200,"{'Via': ['1.1 proxy2 (squid/3.4.9)'], 'X-Cache': ['MISS from proxy2'], 'X-Powered-By': ['PHP/5.3.28'], 'X-Cache-Lookup': ['MISS from proxy2:8080'], 'Server': ['Apache'], 'Date': ['Tue, 31 Mar 2015 12:08:32 GMT'], 'Content-Type': ['text/html; charset=UTF-8'], 'X-Pingback': ['http://uk-preparedness.co.uk/xmlrpc.php']}",Regional - Europe,Prepping and survivalism in the UK. ,UK Preparedness | Part of the P2S Network,UK Preparedness
